Nelly92sourire,40," Paris 15, Ile de France   ",Soyez curieux et venez discuter...De île de France. 
Mengui10,36," Lesquin, Nord Pas de Calais   ","Salut, je désire faire  une rencontre, je suissuis femme célibataire, sans enfants, sympathique,jolie, qui prend la vie du bon côté malgré lescoups dure,qui désire aimer a nouveau et êtreaimé. j'aime les voyages les excursions en forêt,la lecture, le cinéma,le théâtre et la musique.Madémarche est sincère personnes pas sérieuses'abstenir. Merci"
perlenoir_80,38," Rosny sous bois, Ile de France   ",SALUT.JE SUIS LA POUR ME FAIRE DES RENCONTRES
Azafad84,34," Bazainville, Ile de France   ",Bjr a tous et à toutes
Dododidoune,40," Bruges, Aquitaine   ",Recherche une relation sérieuse et plus siaffinités
Mayana35,30," Rennes, Bretagne   ",On peut être A....A....A....
Zenjade,40," Avignon, PACA   ",Je suis ici dans le seul but d'y faire desrencontres amicales à travers des dialoguesenrichissants...(prenez bien le temps de lire monorientation).. 
matina2018,36," Pledran, Bretagne   ","je suis dans ce site pour chercher l'amour , unerelation sérieuse et durable . "
Audn14,34," Blainville sur orne, Normandie (Basse)   ",Je cherche à discuter et pourquoi pas faire desrencontres
Aimeeaimee16,34," Paris 11, Ile de France   ",Slt slt jeune femme ambitieuse sympa sincèrehonnête recherche du sérieux uniquement 
Martou88,30," Boissy st leger, Ile de France   ",
Kaga28,34," Roissy en brie, Ile de France   ",Je cherche un homme qui se respecte 
Shahida,30," Pau, Aquitaine   ","A la recherche d'un homme célibataire, sympa,attentionné, souriant .. "
nini230378,40," Aulnoye aymeries, Nord Pas de Calais   ",déjà bien déçu...je recherche plutôt àsympathisé... discuté...car plus vraiment d'espoirde plus...
Chancelah,29," La teste, Aquitaine   ",Une vie a deux est mieux que seule
Fania38,32," Fontaine, Rhône Alpes   ",Bonjour je cherche une relation serieuseet durable
ClaraTrav11,38," Carcassonne, Languedoc Roussillon   ",
Angelandemon,38," Montbeliard, Franche Comté   ","Comme tout à chacun sur ce site, la solitude pèseet je pense que nous ne sommes pas fait pour vivreseuls. Néanmoins, trouver la personne avec qui lesdéfauts de l'autre s'accordent avec les nôtresn'est pas chose aisée de nos jours. Me concernant,j'aime les choses simples de la vie, je nem'éparpille pas, je tranche car je n'ai pas detemps à perdre, demain n'existe pas. Je suis en..."
Meyblackete,40," Beure, Franche Comté   ",Amitié 
BlueFeather,32," Reims, Champagne Ardenne   ",Nouvelle page à écrire...
Lesli88,31," Sete, Languedoc Roussillon   ",Je suis une sérieuse sourient plein de vie excusemoi se pas facile de se décrire soit même à vousde me découvrir merci 
Sylviana7,35," Bordeaux, Aquitaine   ",Belle africaine recherche amour et relationssérieuse 
lailoux,40," Ste suzanne, DOM TOM   ",
sawsotiti69,39," St symphorien sur coise, Rhône Alpes   ",je travail en ESAT car j'ai un handicapje suis simple et naturelleje recherche un homme qui ne souhaite pas faired'enfants!je ne conduis pas donc je recherche dans lesecteur entre lyon et saint etienne pour pouvoirme déplacer en bus pour un partage mutuelje recherche a discuter dans un premier temps etcréer des affinitées pour trouver la rencontreidéaleje suis une femme active
