Magila,52," Aubusson, Limousin   ",Cherche une rencontre sincère basée sur laconfiance
CASSANDRA42000,59," St etienne, Rhône Alpes   "," Je cherche une belle rencontre (entre 53 et 62ansmerci de respecter ce souhait )qui comme moi saitce qu'il veut et ne veut plus dans une relation.Envie de partager,de se compléter,d'êtrecomplices,se surprendre ,s'adapter l'un à l'autre...Être l'orfèvre du bonheur d'une personne qui aurasu par sa personnalité,son humour ""que sais je"" meconquérir  !....Beaucoup à donner cepend..."
Amoursincere5559,47," Auzers, Auvergne   ",A découvrir
Marie2451,53," Perigueux, Aquitaine   ",Rencontre sérieuse ! les hommes mariés  . Encouple ou dans une relation compliqué .  Vouspouvez passé au profil suivant !!!bonne route pasintéressée.messieurs si je ne réponds pas c estque je ne suis pas intéressée bonne journée PSmoins de 46ans je suis pas intéressée .Si voushabitez à l autre bout de la Dordogne je ne vousrépondrais pas non plus s'il y a trop de distance.merc...
espoir6228,56," Arras, Nord Pas de Calais   ",uiun
vrinec17,46," Auvers sur oise, Ile de France   ","filons d'icimaman solo simple , calme derriere la force d'un homme il y'a toujours unefemme :)"
marylou8444,56," Lorient, Bretagne   ",j aimerais faire une belle rencontre
Cheriecoco24430,56," Perigueux, Aquitaine   ",Je ne suis pas un top modèle je ne suis pasparfaite mais g un gros coeur avec bocoup d amourà donner mais g des défauts aussi comme tout lemonde.alors messieurs je recherche un homme blackfidèle et qu il sait ce qu'il veux
Romantica811,59," Albi, Midi Pyrénées   ","Nouvelle entrée sur le site, j espère une bellerencontre afin de construire une vie à deux simpleet tranquille.J espère que mon profil sera en adéquation avec levotre pour établir un contact franc, courtois ethonnête. Je recherche une relation stable etdurable. Je vous invite à découvrir mes valeurslors d un fil de discussion.Mon rêve est de marcher main dans la main avec unh..."
Huecocotte,48," Auray, Bretagne   ",Rencontre agréable sérieuse mais plutôt rigolotequand même
Christiane1410,57," Vannes, Bretagne   ","Mes  journées sont bien occupées car je suistoujours en activité,Mes week-end .. Maison, jardinage et autres..Mais après, lecture, sport, danse, randos assezrapides..Je m'assume sans problèmes maisLes années passent très vite, et l'homme n'est pasfait pour vivre seul.je pense qu'il y a un homme qui m'attend, et quej'attends, peut être vais-je le rencontrer ...unhomme de mon a..."
sylvy21,57," Dijon, Bourgogne   ","Recherche relation SERIEUSE dans ma région depréférence, ce qui est important pour moi: leRespect, la Confiance, la Complicité, laFidélité,, pas SERIEUX et Faux profils sabstenir.. Merci!!... Y a t il des hommes sérieuxet sincères??? Messieurs soyez francs sur le butde votre recherche ca évitera une perte detemps.....il y en a pour tout le monde..lol."
Bibichelo27,51," Compiegne, Picardie   ",
marycroco1961,57," Henin beaumont, Nord Pas de Calais   ",Je suis à la recherche d une amitié sincèreempreinte de complicité et plus si affinité . Passérieux s abstenir  
perledelumiere76,51," Rouen, Normandie (Haute)   ",Bonjour a tous !! je suis ici pour faire desconnaissances et peut etre rencontrer celui quiferas chaviré mon c%u0153ur !!! j aime les hommescharmants avec de l humour qui croque la vie apleine dents .. donc si tu te reconnais viens meparler et faire connaissance .par contre je nerépondrais qu aux personnes proche de ma region .
tinastella,58," Carcassonne, Languedoc Roussillon   ","Je me suis inscrite sur les conseils d une amie ,je repondrai avec plaisir aux plus de 55 anshabitant en France !Par contre , les hommes pas libres, ni dans leurvie , ni dans leur tete , oubliez moi !"
whynot5144,58," Nantes, Pays de la Loire   ","Sortir, voyager....Ah oui je voudrais ajouter, ne me contactez pas sivous n'êtes pas dans les Pays de la Loire...je nerépondrais pas merci de votre compréhension...J'oubliais aussi pas d'hommes mariés cela ne mèneà rien merci...Bonne continuation..."
Rouges72,46," Bolbec, Normandie (Haute)   ",Partager à deux.
-Gewen-,53," Montpellier, Languedoc Roussillon   ","Communicante. J'aime les bons repas, l'Art engénéral, les salons de bien être, lesexpos/conférences, les balades, la nourriturevietnamienne, les bons films. Je pratiquel'improvisation théâtrale. Coach en développementpersonnel, je dispense les médecines alternatives: la relaxation, les soins sur les chakras, AccessBars, le magnétisme & le Feng Shui pour lesmaisons, Voilà qqs i..."
natachou94,48," Bonneuil sur marne, Ile de France   ",tout d'abord le dialogue 
Mamicat02,59," Mouzon, Champagne Ardenne   ",A la recherche d un homme sérieux fidele honnêtedoux atten tionne  doux calin
Sonina92,56," St etienne, Rhône Alpes   ","Cherche amitié ,simplement , ont dit que la femmeest compliquée  je pense que se sont les hommesqui ne comprennent pas les femmes lol"
Nitom66,55," Dax, Aquitaine   ",Je suis une femme avec beaucoup de valeurs respectpas de vulgarité attentionnée très à l écoute desautres donne beaucoup de sa personne pour aiderécouter de mon mieux etc...
rennaise1204,60," Rennes, Bretagne   ","discutons, dialoguons, communiquons et nousaviserons ...Sur mon blog vous en saurez plus et vous aurez desphotos taper : source poétique izenne "
gislene59,59," La chataigneraie, Pays de la Loire   ","juste ici pour rencontrer mon alter ego messieurs  vous etes ( maries, collectionneursetc) passes votre route"
susuky,60," Fontenay le comte, Pays de la Loire   ","aime la mer ,le soleil,les balades diner,danservisiter la bretagne"
Macristina,47," Rambervillers, Lorraine   ","Je souhaite uniquement échanger avec un homme d'aumoins 1m80 des Vosges ou de Meurthe et Mosellepour pouvoir si possible si affinités serencontrer facilement afin de faire plus ampleconnaissance autour d'un verre, dans un resto oulors simplement d'une balade...."
20-Plaques,53," Nantes, Pays de la Loire   ","Je recherche une relation sérieuse et sincèrebasée sur la confiance , la complicité , lasincérité , le partage , le respect , l'honnêteté, etc... moi favorise l'être au paraître. Ma venuesur ce site a pour objectif premier d'avoir uneconversation avec des personnes dont le profil etle mien ont certaine affinités. Je suis toutd'abord a la recherche d'une relation amicalesincère..."
honorine29900,55," Concarneau, Bretagne   ",sensible /honnête /
Diamond31600,46," Toulouse, Midi Pyrénées   ",Recherche amitié 
thalie2018,51," Puteaux, Ile de France   ",
Denblue,54," Bourg en bresse, Rhône Alpes   ","Hello y aurait il un motard sympa dans la régionqui accepte de rouler à deux, je suis unepassagère équipée et pas chiante. Je suis déjàpartie en week en groupe et c'était le délire,houai changer d'air !!! MERCI  "
Catdu60,43," Beauvais, Picardie   ",Recherche amicale dans un premier temps
Tatiedanielledouce,54," Estivareilles, Auvergne   ",Recherche du sérieux 
newbeetlecabriolet,54," Versailles, Ile de France   ",Une perle !Femme pétillante avec un léger handicap (marcheavec une canne) recherche une amitié amoureuse.Une relation durable et de qualité. Un ami avec qui partager des moments de vie etplus si affinités. 
delph4451,51," Nantes, Pays de la Loire   ",Ici pour trouver une pétillance
Valmer62,57," Hardelot plage, Nord Pas de Calais   ","Femme sportive,loyale , maîtrisant l humour ,curieuse du monde et de sa marche..... J aimerandonner le long des vagues et de l écumé,  leschemins côtiers abritent aussi mes foulees....lamer...je l écris..."
Bellissi9-_,48," Melun, Ile de France   ","Bonjour,La vie est belle malgré tout mais à deux ellel'est encore. Je recherche quelqu'un de gentil,respectueux, propre qui a la joie de vivre pourune belle histoire d'amour. je suis une fille trèsaffectueuse, agréable et qui a la tête sur lesépaules. A bientôt j'espère"
Dubonheurpournous,56," Arcachon, Aquitaine   ",Dans l immédiat une relation amicale sincèrecomplice et voir par la suite pourquoi pas !!
Fadila93150,58," Le blanc mesnil, Ile de France   ",
laurencedu57,49," Metz, Lorraine   ",femme aimant la nature la peche la foret les blabla bla le ma tu vue tres peut pour moi sans prisede tete 
papillonraredeladrom,46," Valence, Rhône Alpes   ","Je souhaite une rencontre avec un hommecélibataire entre 45 et 55 ans qui aurai unegrandeur d âme et l élégance de l esprit. Bien dans sa vie et qui ne se sent pas seul, quiaurait l envie de vraiment me connaître pour créernôtre propre univers à long terme. Je suis une personne positive avec un brin defolie et un pied sur terre. Seul un véritable message aura mon attention. J..."
roselynn37,54," Tours, Centre   ","Juste envie d'une relation sérieuse 'avec unepersonne stable ,ayant des projets et n'ayant paspeur de s'engager a plein temps!!Afin de ne pas donner de faux espoirs a certain,jerecherche une personne de 54 a 60 ans,non fumeur !Les plans d'un soir ou d'un weekend  ne sont paspour moi,ainsi que les menteurs,hypocrites,etinfidèles!!A bientôt de vous lire"
nina16400,50," Angouleme, Poitou Charentes   ",je suis une femme simple et sincère.....
Sanjala,46," Naintre, Poitou Charentes   ","Je suis curieuse, entière, douce et souvent enretard ! Compréhensive, tolérante, dans l'échange, j'aspire à être bien avec l'autre toutsimplement...un peu de fantaisie et de légèretédans un cadre rassurant.  Je ne crois pas auxcontes de fées (c'est pour les névrosés ;-) ) maispourquoi pas en une belle histoire qui perdure.... "
Manous24,45," Perigueux, Aquitaine   ",Je cherche un homme de 40 à 50 ans uniquement surperigueux je répond pas au messages respectant pas ces  conditions
muse1409,47," Cahors, Midi Pyrénées   ",amicale
chitbreton,59," Lievin, Nord Pas de Calais   ",
Manda2468,45," Tain l hermitage, Rhône Alpes   ","J'aime bien  faire la cuisine,le ménage et J'aimebien m'occuper  des personnes "
fifisun,48," Nivillac, Bretagne   ","Cherche un homme pour partager ma vie et meshobbies, j'aime le sport, tout ce qui se rapporteà la créativité, j adore le cinéma, les sortiesentre amis. Je n'aime pas perdre mon temps parconséquent les ""faux profils"" passez votre chemin."
cathy33000,49," Villenave d ornon, Aquitaine   ",En prenant le temps...
ElsaNogent10,60," Nogent sur seine, Champagne Ardenne   ",Je recherche du sérieux mais avec humour. Chaquejour qui passe est définitivement perdu etj'aimerai rendre heureux mon autre. Les fauxprofils passez votre chemin. 
FLAMME-22,58," Chartres, Centre   ",
hecate34,57," Montpellier, Languedoc Roussillon   ","OUI pour l'humour, la culture, la plage, la nuit,les fraises, le vin blancNON à quoi? aux beaux parleurs? pourquoi écrireça, ils ne changeront pas ;)alors NON aux aubergines ( berk) et ça suffit pourles ""non"", je préfère le positif au négatifj'adore danser, écouter de la musique, préférencepour le métal, amoureuse de Saez et de stephenkingje suis une personne ENTIERE donc je ..."
Caelle75,51," Paris 19, Ile de France   ",Cherche relation sérieuse
Bibichadou,59," St denis, Ile de France   ",Recherche sincère avec un homme 
jos2019,59," Rennes, Bretagne   ",recherche homme serieux pas d aventure merci homme en relation ne pas me laisser de messagesmerci 
patouchefr52,53," Chaumont, Champagne Ardenne   ",Je recherche une personne entre 40 et 50 ans pourune relation sérieuse
Alisonne45,53," Montargis, Centre   ",Gentil douce souriante et jalouse
ALNOUCHKA,56," Tarbes, Midi Pyrénées   ","Je souhaite partager des loisirs communs( cinéma, restaurants, balades, danse) avec une personnesincère demeurant très proche de TARBES. Quecelle-ci  possède des valeurs humaines similairesaux miennes  afin que notre première rencontresoit la plus agréable possible."
babilone79,48," Melle, Poitou Charentes   ","Je recherche une relation sérieuse avec un hommebien dans sa tete qui sais regarder de l avant.Hommes en quêtes d aventures, ou couples vousperdez votre temps"
OBMB-49,49," Angers, Pays de la Loire   ","J'aime la nature, les animaux, les balades, allerau cinéma, lire, visiter de nouveaux lieux,découvrir des expos, passer des soirées avec desamis.Si vous avez les mêmes goûts, que vous habitezAngers ou ses alentours et que vous vous situezdans la tranche d'âge 46-54 ans, peut-êtrepourrons-nous partager des loisirs ? J'aime leséchanges simples et sincères.Merci de ne pas m'écr..."
SOURIRAULEVRE68460,58," Lutterbach, Alsace   ","JE recherche un homme GENTILLE , SÉRIEUX. JEsouhaite rompre la solitude. JE suis une FEMMEtrès GENTILLE , SENSUELLE , SÉRIEUSE, FRANCHE."
bouchon19,52," Avignon, PACA   ","Bonjour, je souhaite faire une belle rencontre. Jene pense pas être difficile mais je sais ce que jeveux et surtout ce que je ne veux plus. A bientôt"
SayNothing01,53," Bellegarde sur valserine, Rhône Alpes   ",Que dire … Et bien l'avenir s'en chargera !
bois_de_rose,48," Livry gargan, Ile de France   ",Femme gaie et volontaire recherche une relationstable dans laquelle le respect mutuel ne seraitpas un vain mot.
Mimela,53," Bischheim, Alsace   ","Difficile exercice, franchir le cap de l'annonce,oser parler de moi et laisser faire le hasard etle destin si vous osez me répondre. Je l'espère, àbientôt..."
