Labeaute900Z,23," Orleans, Centre   ",Je recherche  uniquement tu sérieux  plan Q passé 
Stellanadege01,24," Paris 13, Ile de France   ","Marre de la solitude,je recherche une relationsérieuse, stable. Et j'espère vraiment que je letrouverai "
MiiiraB,21," Paris 01, Ile de France   ",Ne pas me contacter si c%u2019est pour dire« salut ça va » Je ne veux pas d%u2019homme marié 
AnaisIDE71250,24," Marseille 02, PACA   ",
linty6,23," Coulaines, Pays de la Loire   ","Une rencontre , une amitié, un coup de foudre peutetre mais une relation de respect et de confiance."
Gaell-25,22," Roulans, Franche Comté   ","(Merci de ne pas prendre contacte si vous n'êtespas de ma région et que vous n'êtes pas âgé de 22à 26 ans - les messages resteront sans réponse)De nature calme, je suis une jeune femme posée, àl'écoute et souriante mais je manque parfois deconfiance en moi. Ouverte d'esprit et aimant lavie.De grande simplicité, je veux d'une vie sansartifices. Les boîtes de nuit et l'alcool ..."
Ho-ney,23," Beausoleil, PACA   ",On apprend pas au vieux singe à faire la grimace.Ici pour DISCUTER.
yuiop2,20," Marseille 01, PACA   ",
Erodia26,23," Valence, Rhône Alpes   ",Bonjour je suis à la recherche d'une relationsincère 
Roxanah24,24," Niort, Poitou Charentes   ","une femme de 24ans cherche une relation sérieuse,avec des objectifs a long terme, un homme gentil,généreux, avec un esprit ouvert, si tu es ici pourun plan Q, ou pour être remarqué  c'est pas lapeine. Merci"
Gourmandisu,22," St jean de beauregard, Ile de France   ",
Jannette27,23," Coulaines, Pays de la Loire   ",Je veux une relation sérieuse  pour le moment jesuis  à la maison j'adore faire la cuisine lire mamuse etc
Meli-Melissa,24," Le perreux sur marne, Ile de France   ",Rêve 
Lorie237,24," Bordeaux, Aquitaine   ",Venez me découvrir 
Scarlette1915,22," Cherbourg, Normandie (Basse)   ",Je suis une femme de caractère mais très sensiblequi donnerai tous pour l’amour de sa vie
viviane191,24," Strasbourg, Alsace   ","Candie 24ans A la recherche d'une relation sérieuse durable eta long terme.Maman, travaille dans le domaine de la santé. J%u2019aimerais partager avec mon future compagnondes activités tél que : les voyages, les baladesla danse etc... "
Eilem56,22," Lorient, Bretagne   ",Je cherche à faire connaissance amicalement 
GympieGympie,21," Aix les bains, Rhône Alpes   ",
Welcomebody,23," Angers, Pays de la Loire   ",
Hourys,23," Belfort, Franche Comté   ",Bonjour à vous ! 
Fleur229,24," Lille, Nord Pas de Calais   ","Recherche un homme gentil généreux pour unerelation suivie « Si je ne vous répond pas , ça veut dire que vousm%u2019intéressez pas. A vous de vous démarquer »Donc les forceurs non merci !!!"
Aurelenzo67,22," Haguenau, Alsace   ",Ici pour de nouvelles rencontres sympas
Thecalzona,23," Bischwiller, Alsace   ",Les camerounaises et ivoiriennes vous êtes lesplus belles !!! Mais l'amour n'a pas de frontièredonc peut importe engagée la discute je répond PS: très peut connecter si vous le souhaitezajoutez facebook : Elodie Buch 
fofolle2018,22," Toulouse, Midi Pyrénées   ","J'ai plein de talents qui pourront te séduire maisbon j'avoue pas de quoi passer dans the Voice outop chef mais j'ai tout ce qu'il faut pour tefaire passer une bonne soirée ..Je recherche un mec bien dans sa tête et dans soncorps ,qui sait ce qu'il veut de sa vie lol N'hésitez pas à me parler "
Jennydu3033,24," Vauvert, Languedoc Roussillon   ",Cherche relation sérieuse 
filledu57,24," Lingolsheim, Alsace   ","bonjour, je suis en couplée et je suis ici pourfaire des rencontre AMICALE et non des rencontressérieuses ou des plan dun soir.Je recherche des personne qui recherche la mêmechose que moi et de préférence dés personne entre20 ans et maximum 40 ans pas plus.Et de préférence dés personnes de ma région pourpourvoir les rencontrés si le feeling es là.Ceux qui envoie des messages d..."
DarcyEmilia,20," Nantes, Pays de la Loire   ","Bonjour à tous, Je suis une jeune femme de 20 ans et je sais quec'est étrange qu'à mon âge, je sois inscrit sur unsite de rencontre mais ""après tout pourquoi pas"".Je ne cherche rien de particulier seulement àfaire des rencontres amicales.Je ne vais pas fairede longs discours comme sur tant d'autres profilsen décrivant mes qualités et mes défauts car sivous tenez vraiment à le..."
Kimii22,23," Arles, PACA   ",
cindirella23,23," Bordeaux, Aquitaine   ",envie de faire des rencontres cool sans prise detête
lilite9360,22," Beauvais, Picardie   ",...
Gertrude96,22," Orleans, Centre   ","je suis une fille amusante qui aime prendre soinsd'elle. J'aime danser, sortir, faire du shopping,passer de bon moment, voyager, et aussi lesrestaurants.J'aime apprendre et suis trèsambitieuse ."
Perlerare1994,24," Belfort, Franche Comté   ",Cc je me prenome Stéphanie dorigine camerounaissea la recherche dune relation sérieuse les cassescouilles sabstenir
BrindaMeryle01,23," Bretigny sur orge, Ile de France   ",Je travail dans la santé
