FaridNice,40," Nice, PACA   ","Je suis de  Nice cherche connaissance, amitié "
olivierzavier,32," Lyon 08, Rhône Alpes   ",Je recherche une femme bien
cedric_77,36," Noisy le grand, Ile de France   ",Tout simplement a la recherche d'une relationsérieuse
Teo9595,35," Auvers sur oise, Ile de France   ",envie d'une rencontre pour passer un (ou des)moment(s) sympa(s) ?fait moi signe
Nono78260,37," Paris 16, Ile de France   ",
antony014,39," Dugny, Ile de France   "," je cherche tout d,abord à entamer une relationamicale pour mieux apprendre à  nous connaîtrepuis l,avenir nous dira.à bientôt "
Argenlieu1987,40," Avrechy, Picardie   ",Recherche l'ame sœur l'amour qui feras un longchemin a mes côtés pour partagé amour bonheur joiede vivre et   ensembles de profiter de la viesd'avancer ensemble dans le respect de l'un et del'autre pour construire un beau couple le bonheurla joie la tendresse de s'aimer tout simplementquelque mot sur moi je suis la personne qui ne seprend pas la tête qui préfèrent d'avancer que...
Fabrice-Del-Dongo-75,30," Paris 10, Ile de France   ","Sportif, lecteur, cinéphile, je recherche unefemme intelligente, ouverte d esprit, curieuse, etcompréhensive. "
dav6222,40," Boulogne sur mer, Nord Pas de Calais   ",calme doux gentil 
Epicurien512,33," Epernay, Champagne Ardenne   ",......................
olivierweb58,40," Clamecy, Bourgogne   ","Célibataire sans enfant, recherche du sérieux. "
Kalashh75,31," Paris 14, Ile de France   ","Gros bavard ! Toujours la pêche et le sourireJe voyage tout le temps, j%u2019adore ça ! Jeparle espagnol et Anglais."
PBJ222,38," Lannebert, Bretagne   ",
Nicolerouge955,25," Bessancourt, Ile de France   ",je suis la pour rencontrer l âme sœur 
Yaris750,36," Paris 11, Ile de France   ",Bonjour à toute.
Jeromejako2,36," Agneaux, Normandie (Basse)   ",Bonjour Je suis ici pour discuter et pourquoi pas faireune belle rencontre sérieuse 
Dimdim2610,37," Montpellier, Languedoc Roussillon   ",....
Zenith1983,35," Le mans, Pays de la Loire   ",Gentil mec cherche complicité ! femme mature poursoirée sympa ! social ! partage ! bisous
Titi76340,29," St lo, Normandie (Basse)   ",Je suis ici pour faire de belle rencontre amicaleet passer le temps ou voir plus si vraimentaffinite
ChristianM24,36," Guyancourt, Ile de France   ","Recherche relation sérieuse ,durable avec unefemme pour qui je donnerais tout et pouvantaboutir à une vie de couple.Pour un début d'abord communiquer, discuter pourmieux apprendre de l'autre. Les aventurière s'ilvous plaît passé je ne suis pas disponible. Jeveux du sérieux moi."
DAMIEN646464,40," Bayonne, Aquitaine   ",Amitié d'abord....... Le reste on verra enfonction du feeling 
lorian424,34," Montpinchon, Normandie (Basse)   ","Bonjour  , je m appelle Éric , Je recherche afaire connaissance   avec des personnes simple qui recherchent du sérieux uniquement."
Jol94000,32," Creteil, Ile de France   ",Rencontre 
sof333,33," Paris 01, Ile de France   ","Bonjour je suis simple , cool , gentil , drôle , ... pleinplein de qualités à découvrir les défauts je pense pas , lol"
danie1956,38," Gien, Centre   ",cherche femme serieuse et fidele
Angelo186,34," Paris 17, Ile de France   ",Nouveau sur Paris (nouveau job)Si vous avez des bons plans logements je suispreneur et une pierre deux coups une copine par lamême occasion   :-))))parlo italianoHablo espanol I speak englishxox
guillaume14021980,38," Availles en chatellerault, Poitou Charentes   ","""""""""""""""Ma devise ,,,,,,,,il faut  profiter de lavie ^_^   """""""""""""""""
unmecdu46,28," Cahors, Midi Pyrénées   ",ne de mes plus grande passions : la rando !! jepart régulièrement quelques jours avec mon sac ados et en avant !! alors si vous etes tentée vneezdiscuter :)
badaboum1979,39," Angouleme, Poitou Charentes   ",Coucou
Acroquerrr,35," Chambery, Rhône Alpes   ","Que dire.... homme de la trentaine, qui cherche àfaire de nouvelles connaissances et pourquoi pasplus...qui sait !?"
fredlereveur28,36," Chartres, Centre   ",
Nozz01,31," Amberieu en bugey, Rhône Alpes   ","Recherche rencontré amicale sympa pour se changerles idées.. soirée, Sortie si féeling..."
Test_62,32," Nantes, Pays de la Loire   ",Je cherche avant tout des rencontres amicales poursortir découvrir la région (je suis néo-nantais)
many1411,36," Caen, Normandie (Basse)   ","Bonjour, Je suis pas ici pour faire espérer les gents etfaire ou dire de belles paroles jai plus le tempsde jouer. Ma présence ici , même moi je c'est pas peut etremon subconscient qui pousse à aller de l'avant .Je suis un mec gentil honnête fidelle en couplemais très méfiant, parfois je redeviens un gossemais reste un homme . Discutons fesontconnaissance et qui c est le décl..."
LOIC_24,31," Coulounieix chamiers, Aquitaine   ","Bonjour jeune trentenaire sincère, gentil etsimple dans la vie, qui recherche à faire desrencontres sérieuses."
Quelqu001,32," Montpellier, Languedoc Roussillon   ", 
franckmature,32," Brest, Bretagne   ",bonjour moi c'est franck homme de 31ans 1m73 pour 58kgpour moi ma vie et avec une femme mature fémininetendre et caline 
SuperTitienne2,28," La teste, Aquitaine   ",Un p'tit bonjour à toutes ces dames qui visitentmon profil.L'orthographe n'est pas mon fort alors désoléd'avance.La meilleure des description se fera quand vous meposerez les questions nécessaire pour apprendre ànous connaître.J'ai un p'tit faible pour les femmes qui viventtrès bien leur défauts ;)
lours60100,40," Creil, Picardie   ",je suis sur ce cite pour rencontrai une relationsérieuse fidèle sinser 
