blabla03000,51," Macon, Bourgogne   ",Pour le plaisir des yeux !!!!
LIBOULI5962,52," Lille, Nord Pas de Calais   ","Envie  d'une  relation  sérieuse,  pleine  de complicité,  de  partage  et  de  tendresse....."
livredutemps,58," Beauvais, Picardie   ",
safarie07,53," Le puy en velay, Auvergne   ",faire connaissance et si affinité programmer unerencontre :) sortir de la solitude et partager les bon momentsde la vie 
DANI87000,48," Limoges, Limousin   ","Jai 48 ans et je recherche mon âme sur. Je suisici car la solitude me pèse et je pense quil nestpas bon de vivre seul. Un homme nétant pas faitpour vivre seul, je recherche ma moitié peuimporte quelle ait des enfants, quelle travailleou quelle naime tout ce que jaime. Je ne cherchepas mon clone donc vous pouvez avoir votre propreloisir. Comme je ne suis pas vraiment grand 1m67..."
-Madael-35-,53," Rennes, Bretagne   ",Lieu de rencontre de dialogue ou supermarché voirdrive.Chacun vient selon ses désirs ses envies sesjugements ses déviations et interprétation.Un site tout simplement. Patience et dialogue sont la clé d'une vraie bellerencontre car la rapidité ne mène pas bien loinmême si les histoires sont belles.Ce ne sont pas les aventures qui font la rencontremais bien la capacité à voir...
Lhorizondunepensee,46," Evreux, Normandie (Haute)   ",On ne peut jamais se d écrire soi même à traversdes mots mais je vous invite à me découvrir....
Pelw17,44," St pierre d oleron, Poitou Charentes   ", Pour relation sérieuse. Avec femme  qui sait réellement ce qu'elle veut !!
Banpol,43," Le fayet, Rhône Alpes   ","Allergique a la routine , du temps completé par lesport , voyages , musique , souhaite partager tousces bons moments dans la joie et la bonne humeur!!!"
toietmoi68210,49," Traubach le bas, Alsace   ","La solitude me fatigue,je veut passer à autrechose ."
_Octave972_,60," Bordeaux, Aquitaine   "," Homme fiable, calme et poser, mais peut être ours quand on le contraint ou parinjustice comme tout à chacun . Le hasard parfois ne fait pas toujours bien leschoses, je suis venue le provoquer online ! Pour une Belle rencontre, une histoire sans fin. Savoir goûter les petits riens à deux, seprojeter.Si le respect, le partage, la complicité, sontpour vous des valeurs de réfé..."
fredhyeres,50," Hyeres, PACA   ",
lauper,52," Nouans les fontaines, Centre   ",bonjours a toute je recherche l'amour le vrais surle territoire français et tous ce qui habite enAfrique passer votre chemin merci et je nerépondrais a aucun message des personnes cetrouvent en Afrique et marre des personne qui neréponde jamais elle recherche quoi ces filles cesont des faut profile ou quoi que des menteuse desalumeuse ou quoi
sp07200,58," Ucel, Rhône Alpes   ",
Sublimesoleil,55," Toulon, PACA   ",Bonjour  dans le mouvement de la vie je me laisseguider 
denicce06,58," Nice, PACA   ","Comment vous convaincre de me contacter et faireconnaissance, j'ai pas qualité a me vendre surinternet, pourtant de nos jours c'estincontournable, au moins juste pour vous dire queje suis dispo et libre de faire vous connaitre.sorties, balade, le jour, la nuit, que voulez vousfaire ? "
calliaces69,49," Pont de l arche, Normandie (Haute)   ","bonjour,je suis ici pour faire de nouvelles connaissances"
pistache78,46," Plaisir, Ile de France   ",
michaelmoi1962,56," Lomme, Nord Pas de Calais   ","je suis simple mais pas simplet.Je pratique lesport,le bricolage,le jardinage j'aime aller à lapiscine me balader  en bord de mer et je ne suispas contre le shopping à condition d'être bienaccompagné le cinéma bien entendu les petit restoet les bonnes discussion et vous vous en doutez untas d'autres chose"
ezzazt,59," Thouars, Poitou Charentes   ",homme 60 ans  homme doux honnete respectueuse;voire  plus si affinités ;  retraité ; divorcé recherche femme pour relation serieuse avec femmememe profil  si tu est femme serieuse  tu peuconntacter recherche femme autour de Thouars 79100
pabrujean,52," Cazeres, Midi Pyrénées   ","Si tu ne fais rien de particulier durant ses 50prochaines années, je te propose de conjuguer avecmoi...Le verbe Aimer   :)"
retourner15,60," Bages, Languedoc Roussillon   ",retrouver l amour 
patrickSympa51300,52," Rosnay l hopital, Champagne Ardenne   ","bonjour , je suis sympa , cool , j aime bienpapotermon skype :  "
subdenice06,47," Nice, PACA   ","Séparé depuis quelques mois, je désire retrouverune personne avec qui le courant passe."
christian11000,60," Carcassonne, Languedoc Roussillon   ",en premier temps des rencontres et a voir siafinitées  
vltdaniel,56," Quimper, Bretagne   ",.
Jhuitt8652,58," Angers, Pays de la Loire   ",A la recherche d'une relation sérieuse 
oliver76000,46," Rouen, Normandie (Haute)   ",me faire des amies
LoneWerewolf,45," Boulay moselle, Lorraine   ",
jailhouserock06,57," Cagnes sur mer, PACA   ",recherche amitiés sincéres dans un premiertemps....la solitude est usante.....
Alva3res,48," Chevigny st sauveur, Bourgogne   ",Recherche rencontre sérieuse.
diagonaleperdue,47," Lourdes, Midi Pyrénées   ","Quel temps ne faut-il pas pour parvenir à bienconnaître une personne ?L'apparence est souvent trompeuse paraît-il qu'ilvaut mieux se fier à son  coeur qu'à ses yeux. Nevous fiez pas aux apparences : le tambour avectout le bruit qu'il fait n'est remplit que devent.Difficile de trouver les bons mots pour parler desoi!, je suis juste pascal qui aime la vie et toutce qui va avec..."
lolo35bouchon,56," Rennes, Bretagne   ","conserver la paix.Esthète et créatif..... Tendre, affectueux et serviable."
Serieux311,42," Colomiers, Midi Pyrénées   ",Bonjour P.s prenez le  temps de discuter avec la personnemême si physiquement ce n'est pas vôtre type 
junior1966,52," Crepy, Picardie   ",
gentil-toujour,52," Bollene, PACA   ","je sui quel qu'un de  sérieux je recherche unefemme sérieuse avec qui faire ma vie et cons jaisune femme dan ma vie je non n'ais qu'une j'aime rire plaisanter , j'aime me balader enamoureux main dans la main , aller au cinéma , faire les magasin , sortir ,voyage ou rester a la maison , diner au chandelle je sui quelqu'un de gentil m'aime très gentil "
fifi121960,58," Villefranche de rouergue, Midi Pyrénées   ",je suis a la recherche d'une relation serieuseavec un grand A
19bacouse66,52," Nogent sur seine, Champagne Ardenne   "," j'espère trouver une personne ici sur le net avecqui je serais heureuse et très envie de faire taconnaissance autour d'un verre, d'une table, d'uncanapé, ou d'un lit! "
yayadeluce,45," Luce, Centre   ","personne tres timide,a la recherche de mon amesoeur.qui m'aimeras avec mes qualitees et mesdefauts"
goran01,53," Ceyzeriat, Rhône Alpes   ",recherche rencontre amitié voir +si affinitées .
eagle66,52," Cognac, Poitou Charentes   ",
AbeilleFlandre14,52," Horbourg wihr, Alsace   ","Je recherche une femme pour vivre à deux et doncfaire ensemble des projets.Je suis célibataire,père d'une fille qui est avec sa mère. Je mène unevie saine, je n'ai aucun piercing ou tatouage."
norhone1,55," Villeurbanne, Rhône Alpes   ",Je complèterai plus tard
Blackdoudou97,41," Gonesse, Ile de France   ","Il y'a déjà trop de malheurs dans ce monde debrut, soyons zen simple et profitons des bonneschoses de la vie ."
joremi,52," Pouan les vallees, Champagne Ardenne   "," la vie est un parcours avec des hauts et desbas,il faut souvent de la volonté,du courage,onest mieux armé à deux,sans doute plus fort,je m'ensuis très souvent rendu compte,malgré ma force decaractère,mon dynamisme,maténacité...aujourd'hui,seul,un peu amer,jesouhaite repartir à zéro avec une compagne quisaura être présente,être aimante,sincère danstoutes les circonstances de l..."
reidid25,58," Belfort, Franche Comté   ",Bonjour
Slovene444,53," Toulon, PACA   ",L'originalité c'est peut etre aussi de ne rienécrire sur moi....Et laisser libre cours à ladécouverte. 
AlainYerolo,53," Marange silvange, Lorraine   ",Homme sérieux à la recherche d'une relationsérieuse 
djgerald,41," La verrie, Pays de la Loire   ",recherche rencontre 
ETre-ange54,59," Nancy, Lorraine   ",Paratonnerre cherche son coup de foudrePas évident de se décrire en quelques mots .comment décrire toute une vie en quelques lignes?chaque mot contient tant de clichés et de préjugésdont chacun est victime (et coupable)... il mesemble que se découvrir par le dialogue est plussérieux et réaliste. ne serait-ce pas plusconstructif?PS : mes photos sont récentes et je suis bien r...
yaya1967,51," Gournay en bray, Normandie (Haute)   "," bjr à 51ans,j espère retrouver  une relationdurable et serieuse avec une femme pour partagersa vie .une vie amoureuse  et sans prise de tete...je vie seul sans enfants. je me devoilerai plus autour d un verre à bientôt .... "
sportifnatation1,56," Toulon, PACA   ",BonjourIci dans l'espoir de trouver une relation pleinede tendresse et d'amourOuvert au dialogue car très a l'écoute de l'autre.Ne vous fiez pas à la date d'inscription jereviens apès une longue coupure
johnnytenessee,53," St hippolyte, Alsace   ","Cherche amitié ou plus,j'aime la country,la nature,les sorties....."
christian238,54," Marseille 05, PACA   ",je recherche une relation serieuse durable 
Loulou0318,51," Chateauroux, Centre   ",Je recherche une femme célibataire fémininesérieuse franche responsable qui a pas un fauxprofil ou qui recherche une relation pour l argent et souhaite prendre un nouveau départ. 
rivers888,54," Paris 11, Ile de France   ","Je cherche une amitié amoureuse.Et oui! je ne rentre dans aucune des troisrubriques: sérieuse, amicale, éphémère. Et alors?Pourquoi pas? :))"
Didier-0722,43," Rostrenen, Bretagne   ",Homme de 43ans je recherche une amitiés etpourquoi pas une belle rencontre et fondé unenouvelle famille je suis très doux très tactileromantique fidèles sincère honnête avec beaucoup dhumour j aime bien les choses simples de la vie 
Tony1403,53," St etienne, Rhône Alpes   ","Je ne suis pas un homme prise de tête, jerecherche une femme qui habite dans le 42, quidéborde de joie de vivre, qui aime sortir et quiaime les animaux. Je recherche une relationsérieuse ou des amis... Chère demoisellesj%u2019attenfs vos messages je vous répondrez avecplaisir. "
noel-1961,57," Agneaux, Normandie (Basse)   ",Pour me faire des amies .
finaoh,49," Airvault, Poitou Charentes   ",sincerite tendresse affection
Gentleman938,43," Neuilly sur marne, Ile de France   ",Bonjour pas du tout adepte de site de rencontremais qui peut savoir ....Amitiés plus si affinités.......
GIANCARLO1969,49," Chambourcy, Ile de France   ",Cherche à rencontrer des personnes sympathiquesdrôles aimant la vie
fredo009,49," Rethel, Champagne Ardenne   ","Bonjour mes dames, c'est assez dur de se décrireje suis un homme simple. donner donnez moi l'enviede croire que l'amour existe encore. je suis à larecherche de la bonne personne qui me donneraenvie de revivre à deux une vrai relation sérieuseet durable. je vous attends, cordialementFrédéric."
Entre_hommes11,42," Carcassonne, Languedoc Roussillon   ",
DDV_II,41," Epinal, Lorraine   ",Je souhaite faire une belle rencontre.
nzibou,57," Charlieu, Rhône Alpes   ","Bonjour Mesdames, je suis séparé depuis le début 2015. J'aime lesfemmes de caractères, indépendantes, épanouies,bien dans leurs corps, bien dans leurs têtes.sportives, motardes et ou cavalières soyez lesbienvenues. je ne cherche pas à me ""caser"" mais plutôt àéchanger des idées et à philosopher.j'aime parcourir vos profils, cela me change lesidées. je ne laisse pas forcément d..."
ALEXSANDER,53," Cahors, Midi Pyrénées   ",A  découvrir  rapidement 
monsieurdu21,50," Dijon, Bourgogne   ",Je recherche une femme sérieuse pour construireune relation sérieuse
vieuxchene869,59," Montpellier, Languedoc Roussillon   ",Je m'inscrit pour faire des rencontres
py_sportif,47," Rennes, Bretagne   ","jh celibataire sans enfant , à la campagne eteleveur de chèvres en agriculture biologique toutprès de RENNES.à découvrir !"
dixit-,60," Le creusot, Bourgogne   ",decontracté
Lagon91,48," Courcouronnes, Ile de France   ",Sérieux
Landau007,56," Pontoise, Ile de France   ","Homme de la Guadeloupe, 54 ans,célibataireje souhaite rencontrer une Femme simple libre etprête pour une vie de couple dans la joie la bonnehumeurmais surtout basée sur la confiance la sincéritél'honnêteté la franchiseJe ne partage pas et ne suis pas à partagermerciPatrick"
hsouriant29,57," Morlaix, Bretagne   ","Ma recherche femme sympa ,gentille cool .Je suis sincère ,gentil ,pas de prise de tête"
1966LOLO,52," Grenoble, Rhône Alpes   ",
ericde25,50," Maiche, Franche Comté   ","personne calme , affectueux , "
patrice705,59," Crepy en valois, Picardie   ",;; 
files91,45," St michel sur orge, Ile de France   ","Bonjour, Au plaisir de faire une belle rencontre au naturelen appréciant  la nature... "
sympathiquedu15,47," St flour, Auvergne   ",Vivre à fond et simplement 
Shoieaz,43," Muret, Midi Pyrénées   ",...
cricri84_800,50," Le pontet, PACA   ","Aimer.     Aimer cest un coup de téléphone, c est unelettre,c est une petite surprise, c est uneinvitation du coeur,c est aller faire une marcheensembleC est faire des choses pour l autre, sans raison,sans calculC est accueillir l autre tel qu il est, l écouteravec son coeurC est aussi regarder l autre avec les yeux ducoeur et de l âme. La parole peut mentir mais le regard ..."
Dario099,58," Nice, PACA   ","Un regard posé vers la curiosité, le bien être, lesavoir être. J'aime les grands espaces, la pierre,la terre, les animaux, en tant d'autres choses.Parle moi de ce que tu es et ce que tu aimesfaire.  "
didous35,53," Messac, Bretagne   ","bonjour  j ai 53 ans divorces 3 grands enfants jerecherche une femme avec qui je pourrais partage lamour et le bonheur et pleins de belles choses dela vie,relation serieuse"
bernard8534,49," Chantonnay, Pays de la Loire   ","Bonjour , pour le moment juste envie de discuteret puis qui sait .Au plaisir de vous lire  "
baudey,56," Marseille 01, PACA   ",bonjour  je  ch   jf ou  dame  épanouie  pr dialogue  ou  +  selon.
Chapagua2,60," Pau, Aquitaine   ","Bonjour, L'avenir c'est bien,  l'envisager à deux c'estmieux. j'aime les sorties restos, ciné,  balades .Marcher sur le sable et contempler l'océan J'adore les chevaux et la culture des indiensd'Amérique  ( d'ou mon pseudo ) ."
koalamatou,57," Paris 15, Ile de France   ","Qui a dit que la curiosité était un vilain défaut?Adepte d'une philosophie hédoniste, profitons aumaximum des plaisirs que la vie peut nousoffrir... Nous n'en avons qu'une, non ?Mon métier me permet une certaine souplesse enjournée pour une rencontre amicale. Alors, ne nousprenons pas la tête, évadons-nous autour d'unverre, d'une pâtisserie, d'une expo, et laissonsla curiosit..."
Indianjpv,59," Draguignan, PACA   ",Rencontre simple sans prise de tête dans lasimplicité et le bon gout
tangermar,51," Brunoy, Ile de France   ",Bonjour.faire tout simplement une rencontre sympasans prise de tète je cherche une rencontre dansun premier temps amical .le temps fera lereste.Merci bien en prendre en compte.
fraga123,55," Gagny, Ile de France   ",Bonjour je m'appelle José je cherche une relationsérieuse avec une femme qui a pas peur des'engager partager beaucoup de choses ensemblej'aime pas l'alcool je ne fume pasJ'aime les voyages j'aime partager j'aime le sportj'aime les animaux j'aime les femmes cool gentilau plaisir de faire connaissance avec votre toutesles belles femmes une femme pour le mariage
Manuel34250,56," Palavas les flots, Languedoc Roussillon   ",cool drole aimant les plaisirs de la vie plageballade resto ciné danser a la recherche d'unebelle histoire afin de vivre des moments departages de passion d'amour avis a ma futureprincesse
PauvreTypeDeNimes,54," Nimes, Languedoc Roussillon   ",
Lilian33760,47," Bordeaux, Aquitaine   ", La vie est belle mais courte sachons la prendredu bon côté :-)
Youva26,52," Valence, Rhône Alpes   ","Je me suis inscrit sur ce site pour une relationamicale et qui sait ça peut aboutir en unerelation serieuse , durable"
chrischris7875,43," Mantes la ville, Ile de France   ","cool,ouvert, aimant la vie, rires j'aimerairencontrer qq pour qui les valeurs et le respectne sont pas des gros mots.A bientot!"
nuitbleu74,43," Thonon les bains, Rhône Alpes   ",sur la route de la complicité
serieuxetcool62400,54," Bethune, Nord Pas de Calais   ",Inscrit sur ce site pour un dialogue et on verrabien!!QUE DU SERIEUX!!!IMPORTANT: La photo ce n est pas mon mariage maiscelui de ma fille!!
marc59ans,59," Lorient, Bretagne   ",
Patochest,49," Nangis, Ile de France   ",Cherche l amour
dauphin24voyages,53," St ouen, Ile de France   ",je recherche à faire connaisse d'une femme pouramitié et relation sérieuse
biscotte79,41," Clesse, Poitou Charentes   ",
brother056,49," Pontivy, Bretagne   ",recherche rencontre sérieuse.
butineur989,53," Ghisonaccia, Corse   ",LIBERTA 
Pascaloudu62,51," Arras, Nord Pas de Calais   ",Amitié 
icham1,56," La grande motte, Languedoc Roussillon   ",
Lamitiecacompte,46," Dole, Franche Comté   ",Pour dialoguer pour le moment voir plus 
HerveS51,56," Epernay, Champagne Ardenne   ",Bof
saturne52,58," Reims, Champagne Ardenne   ","La mesure de l'amour est d'aimer sans mesure""(biensûr avec une seule et unique personne ) il estaussi important de trouver des moments de bonheurdans n'importe quelle situation ..Prenons nous lamain pour marcher sur le chemin du bonheur ...Partageons ensemble des moments qu'ils soient bonsou parfois durs ... J'aime la vie , rire , voyager, la musique , ciné , théâtre , danser ,..."
Pack69,49," Le drennec, Bretagne   ",J'aime les voyages la nature le bricolage etsurtout mon métier voir les kilomètres défilésc'est une passion... je n' suis pas l'armée dusalut... cherche quelqu'un d'honnête...je nefourni pas d'argent ni de billets chacun sedébrouille...le partage c'est en couple etcomplice...si vous à la rue allez voir les restosdu c%u0153ur...
escasuda,52," Lezignan corbieres, Languedoc Roussillon   ","j'ai 50 ans et je voudrai enfin trouver quelqu'unqui me corresponde , je suis exploitant agricoleje travaille mes vignes , j'aime les balades enforêt , les bords de mer , la lecture ,l'archéologie me passionne .sorties restau ,cinémaje me décide enfin à faire la démarche et nousverrons bien !!!"
Capricorne141,60," Boulogne sur mer, Nord Pas de Calais   ","homme célibataire recherche femme libre, âgé enrapport pour amitié, sorties week end s et plus siaffinités..."
